"namelookup","connect","appconnect","pretransfer","redirect","starttransfer","total"
0.000152, 0.000927, 0.000000, 0.001019, 0.000000, 0.002645, 0.002760
0.000152, 0.000856, 0.000000, 0.000947, 0.000000, 0.001702, 0.001838
0.000152, 0.001141, 0.000000, 0.001234, 0.000000, 0.002110, 0.002230
0.000152, 0.000779, 0.000000, 0.000875, 0.000000, 0.001615, 0.001728
0.000151, 0.000787, 0.000000, 0.000880, 0.000000, 0.001636, 0.001751
0.000149, 0.000888, 0.000000, 0.001051, 0.000000, 0.001735, 0.001852
0.000152, 0.000904, 0.000000, 0.000996, 0.000000, 0.001742, 0.001856
0.000149, 0.000712, 0.000000, 0.000805, 0.000000, 0.001553, 0.001675
0.000153, 0.000744, 0.000000, 0.000840, 0.000000, 0.001580, 0.001697
0.000155, 0.000850, 0.000000, 0.000944, 0.000000, 0.001692, 0.001808
0.000149, 0.000793, 0.000000, 0.000888, 0.000000, 0.001634, 0.001750
0.000150, 0.000797, 0.000000, 0.000888, 0.000000, 0.001643, 0.001755
0.000150, 0.000796, 0.000000, 0.000890, 0.000000, 0.001641, 0.001758
0.000151, 0.000817, 0.000000, 0.000909, 0.000000, 0.001666, 0.001782
0.000150, 0.000973, 0.000000, 0.001066, 0.000000, 0.001815, 0.001932
0.000152, 0.000746, 0.000000, 0.000842, 0.000000, 0.001586, 0.001823
0.000152, 0.000855, 0.000000, 0.000949, 0.000000, 0.001747, 0.001911
0.000152, 0.000865, 0.000000, 0.000955, 0.000000, 0.001707, 0.001820
0.000152, 0.000981, 0.000000, 0.001074, 0.000000, 0.001821, 0.001936
0.000151, 0.000832, 0.000000, 0.000927, 0.000000, 0.001674, 0.001792
0.000151, 0.000804, 0.000000, 0.000898, 0.000000, 0.001651, 0.001765
0.000154, 0.000726, 0.000000, 0.000820, 0.000000, 0.001569, 0.001686
0.000200, 0.000926, 0.000000, 0.001035, 0.000000, 0.001833, 0.001979
0.000151, 0.000797, 0.000000, 0.000895, 0.000000, 0.001639, 0.001754
0.000151, 0.000768, 0.000000, 0.000860, 0.000000, 0.001614, 0.001729
0.000151, 0.000897, 0.000000, 0.000991, 0.000000, 0.001741, 0.001856
0.000151, 0.000860, 0.000000, 0.000950, 0.000000, 0.001712, 0.001850
0.000150, 0.000762, 0.000000, 0.000839, 0.000000, 0.001571, 0.001686
0.000150, 0.000754, 0.000000, 0.000847, 0.000000, 0.001720, 0.001838
0.000150, 0.000841, 0.000000, 0.000935, 0.000000, 0.001686, 0.001800
0.000149, 0.000871, 0.000000, 0.000963, 0.000000, 0.001850, 0.001988
0.000151, 0.000832, 0.000000, 0.000923, 0.000000, 0.001683, 0.001798
0.000151, 0.000806, 0.000000, 0.000897, 0.000000, 0.001654, 0.001770
0.000152, 0.000715, 0.000000, 0.000808, 0.000000, 0.001563, 0.001678
0.000155, 0.000810, 0.000000, 0.000904, 0.000000, 0.002004, 0.002138
0.000149, 0.000775, 0.000000, 0.000865, 0.000000, 0.001617, 0.001731
0.000147, 0.000775, 0.000000, 0.000869, 0.000000, 0.001618, 0.001737
0.000151, 0.000865, 0.000000, 0.000958, 0.000000, 0.001705, 0.001818
0.000154, 0.000823, 0.000000, 0.000915, 0.000000, 0.001674, 0.001790
0.000224, 0.001031, 0.000000, 0.001123, 0.000000, 0.001881, 0.001997
0.000153, 0.000756, 0.000000, 0.000848, 0.000000, 0.001604, 0.001716
0.000152, 0.000766, 0.000000, 0.000863, 0.000000, 0.001731, 0.001844
0.000148, 0.000787, 0.000000, 0.000878, 0.000000, 0.001633, 0.001748
0.000154, 0.001058, 0.000000, 0.001149, 0.000000, 0.001914, 0.002065
0.000150, 0.000855, 0.000000, 0.000948, 0.000000, 0.001704, 0.001817
0.000150, 0.000892, 0.000000, 0.000982, 0.000000, 0.001736, 0.001888
0.000152, 0.000786, 0.000000, 0.000879, 0.000000, 0.001631, 0.001745
0.000149, 0.000845, 0.000000, 0.000940, 0.000000, 0.001816, 0.001933
0.000151, 0.000912, 0.000000, 0.001005, 0.000000, 0.001755, 0.001868
0.000152, 0.000857, 0.000000, 0.000950, 0.000000, 0.001701, 0.001815
0.000151, 0.000958, 0.000000, 0.001054, 0.000000, 0.001801, 0.001917
0.000150, 0.001023, 0.000000, 0.001115, 0.000000, 0.001867, 0.001980
0.000150, 0.000809, 0.000000, 0.000901, 0.000000, 0.001655, 0.001769
