"namelookup","connect","appconnect","pretransfer","redirect","starttransfer","total"
0.000180, 0.001115, 0.000000, 0.001212, 0.000000, 0.004014, 0.017412
0.000152, 0.000866, 0.000000, 0.000991, 0.000000, 0.001717, 0.001833
0.000151, 0.000743, 0.000000, 0.000834, 0.000000, 0.001666, 0.001808
0.000149, 0.000924, 0.000000, 0.001040, 0.000000, 0.002010, 0.002166
0.000151, 0.000745, 0.000000, 0.000835, 0.000000, 0.001599, 0.001713
0.000151, 0.001016, 0.000000, 0.001107, 0.000000, 0.001860, 0.001977
0.000178, 0.000897, 0.000000, 0.001022, 0.000000, 0.001770, 0.001905
0.000151, 0.000760, 0.000000, 0.000850, 0.000000, 0.001735, 0.001852
0.000149, 0.000881, 0.000000, 0.000973, 0.000000, 0.001728, 0.001871
0.000152, 0.001555, 0.000000, 0.001651, 0.000000, 0.006818, 0.006936
0.000150, 0.000844, 0.000000, 0.000935, 0.000000, 0.001693, 0.001807
0.000552, 0.001837, 0.000000, 0.001942, 0.000000, 0.002662, 0.002830
0.000208, 0.000975, 0.000000, 0.001078, 0.000000, 0.005642, 0.005777
0.000187, 0.000949, 0.000000, 0.001037, 0.000000, 0.001780, 0.001936
0.000150, 0.000767, 0.000000, 0.000859, 0.000000, 0.001614, 0.001727
0.000188, 0.000835, 0.000000, 0.000928, 0.000000, 0.001683, 0.001801
0.000183, 0.000824, 0.000000, 0.000915, 0.000000, 0.001670, 0.001784
0.000152, 0.000850, 0.000000, 0.000943, 0.000000, 0.001699, 0.001816
0.000190, 0.000879, 0.000000, 0.000970, 0.000000, 0.001707, 0.001849
0.000152, 0.000906, 0.000000, 0.001001, 0.000000, 0.001748, 0.001863
0.000150, 0.000831, 0.000000, 0.000922, 0.000000, 0.001682, 0.001798
0.000148, 0.000777, 0.000000, 0.000867, 0.000000, 0.001747, 0.001863
0.000149, 0.000871, 0.000000, 0.000966, 0.000000, 0.002055, 0.002186
0.000151, 0.000906, 0.000000, 0.000987, 0.000000, 0.002612, 0.002742
0.000151, 0.000838, 0.000000, 0.000932, 0.000000, 0.001682, 0.001799
0.000150, 0.000812, 0.000000, 0.000905, 0.000000, 0.001789, 0.001905
0.000150, 0.000801, 0.000000, 0.000890, 0.000000, 0.001680, 0.001795
0.000151, 0.001507, 0.000000, 0.001621, 0.000000, 0.002726, 0.002891
