"namelookup","connect","appconnect","pretransfer","redirect","starttransfer","total"
0.012865, 0.116995, 0.000000, 0.117696, 0.000000, 0.120781, 0.121416
0.012900, 0.014807, 0.000000, 0.014919, 0.000000, 0.017202, 0.017314
0.012987, 0.014954, 0.000000, 0.015065, 0.000000, 0.017199, 0.017307
0.013461, 0.016237, 0.000000, 0.016346, 0.000000, 0.018621, 0.018730
0.013681, 0.015661, 0.000000, 0.015786, 0.000000, 0.018001, 0.018121
0.012523, 0.014476, 0.000000, 0.014598, 0.000000, 0.017382, 0.017506
0.012523, 0.014514, 0.000000, 0.014642, 0.000000, 0.016690, 0.016811
0.013147, 0.015106, 0.000000, 0.015219, 0.000000, 0.017273, 0.017387
0.013207, 0.015137, 0.000000, 0.015248, 0.000000, 0.017400, 0.017508
0.012990, 0.014964, 0.000000, 0.015080, 0.000000, 0.017268, 0.017376
0.013040, 0.014955, 0.000000, 0.015070, 0.000000, 0.017195, 0.017304
0.012925, 0.014864, 0.000000, 0.014978, 0.000000, 0.017415, 0.017533
0.013064, 0.015026, 0.000000, 0.015142, 0.000000, 0.017164, 0.017275
0.013029, 0.014953, 0.000000, 0.015064, 0.000000, 0.017148, 0.017257
0.012956, 0.014968, 0.000000, 0.015080, 0.000000, 0.017108, 0.017219
0.012973, 0.014940, 0.000000, 0.015049, 0.000000, 0.017814, 0.017922
